Symbol,Sector,Industry,Change,Mcap
BAM,Finance,Investment Managers,4.0,78.66
BIPC,Utilities,Gas Distributors,12.0,NA
BIP,Utilities,Alternative Power Generation,-2.0,NA
BEPC,Utilities,Electric Utilities,17.0,NA
BEP,Utilities,Electric Utilities,-16.0,NA
BF.B,Consumer Non-Durables,Beverages: Alcoholic,19.0,NA
BTWN,Finance,Financial Conglomerates,-14.0,NA
BMBL,Technology Services,Packaged Software,6.0,9.45
BG,Process Industries,Agricultural Commodities/Milling,-6.0,NA
BTAQ,Finance,Financial Conglomerates,-18.0,NA
AI,Technology Services,Packaged Software,-3.0,6.11
CABO,Consumer Services,Cable/Satellite TV,-5.0,10.92
COG,Energy Minerals,Integrated Oil,-17.0,6.75
CDNS,Technology Services,Packaged Software,3.0,36.44
CZR,Consumer Services,Casinos/Gaming,20.0,22.25
CSIQ,Producer Manufacturing,Electrical Products,-9.0,2.41
CAJ,Electronic Technology,Electronic Equipment/Instruments,-3.0,24.61
GOEV,Consumer Durables,Motor Vehicles,11.0,NA
COF,Finance,Major Banks,14.0,71.65
CAH,Distribution Services,Medical Distributors,-5.0,16.92
CG,Finance,Investment Managers,0.0,15.43
CCL,Consumer Services,Hotels/Resorts/Cruise lines,-2.0,34.22
CARR,Producer Manufacturing,Industrial Machinery,-4.0,40.15
CARS,Technology Services,Internet Software/Services,-14.0,NA
CVNA,Retail Trade,Specialty Stores,-5.0,48.04
CAT,Producer Manufacturing,Trucks/Construction/Farm Machinery,-5.0,119.97
CBOE,Finance,Investment Banks/Brokers,12.0,12.24
CBRE,Finance,Real Estate Development,7.0,29.43
PRPB,Finance,Financial Conglomerates,-5.0,NA
CX,Non-Energy Minerals,Construction Materials,7.0,11.85
CVE,Energy Minerals,Oil & Gas Production,-18.0,20.32
CNC,Health Services,Managed Health Care,-20.0,40.08
CNP,Utilities,Electric Utilities,-4.0,15.08
CERN,Technology Services,Information Technology Services,17.0,24.31
CF,Process Industries,Chemicals: Agricultural,20.0,11.3
CHPT,Retail Trade,Specialty Stores,20.0,NA
SCHW,Finance,Investment Banks/Brokers,-18.0,135.83
CHTR,Consumer Services,Cable/Satellite TV,13.0,130.29
CHKP,Technology Services,Internet Software/Services,13.0,16.36
CHGG,Commercial Services,Miscellaneous Commercial Services,-10.0,11.05
SQM,Process Industries,Chemicals: Agricultural,-5.0,12.42
CC,Process Industries,Industrial Specialties,-2.0,6.0
LNG,Industrial Services,Oil & Gas Pipelines,4.0,22.51
CHKAQ,Energy Minerals,Integrated Oil,13.0,NA
CVX,Energy Minerals,Integrated Oil,0.0,208.17
CHWY,Retail Trade,Internet Retail,10.0,31.18
CHS,Retail Trade,Apparel/Footwear Retail,-7.0,0.67
CIM,Finance,Real Estate Investment Trusts,9.0,3.54
CHL,Communications,Telecommunications Equipment,-15.0,NA
ZNH,Transportation,Airlines,-2.0,NA
CMG,Consumer Services,Restaurants,17.0,39.16
CCX,Finance,Financial Conglomerates,-19.0,NA
CCIV,Finance,Financial Conglomerates,8.0,NA
CIEN,Electronic Technology,Telecommunications Equipment,12.0,9.0
CI,Health Services,Managed Health Care,-5.0,82.08
XEC,Energy Minerals,Oil & Gas Production,20.0,7.17
CTAS,Consumer Services,Other Consumer Services,-17.0,37.11
CSCO,Technology Services,Information Technology Services,3.0,228.28
C,Finance,Financial Conglomerates,-7.0,155.35
CFG,Finance,Regional Banks,-17.0,20.06
CTXS,Technology Services,Packaged Software,7.0,14.98
CLNE,Utilities,Gas Distributors,-10.0,2.48
CWEN,Utilities,Alternative Power Generation,13.0,5.34
CLF,Non-Energy Minerals,Steel,-17.0,11.05
CLDR,Technology Services,Packaged Software,6.0,4.61
NET,Technology Services,Information Technology Services,18.0,29.7
CLVS,Health Technology,Biotechnology,-18.0,NA
CMLF,Finance,Financial Conglomerates,-1.0,NA
CME,Finance,Investment Banks/Brokers,-16.0,77.81
CNX,Energy Minerals,Integrated Oil,1.0,3.21
KO,Consumer Non-Durables,Beverages: Non-Alcoholic,7.0,239.51
CDE,Non-Energy Minerals,Precious Metals,-18.0,2.75
CGNX,Electronic Technology,Electronic Equipment/Instruments,14.0,14.15
CTSH,Technology Services,Information Technology Services,-13.0,37.33
CRHC,Finance,Financial Conglomerates,-16.0,NA
COIN,Technology Services,Packaged Software,1.0,62.62
CL,Consumer Non-Durables,Household/Personal Care,18.0,70.56
CLNY,Finance,Real Estate Investment Trusts,3.0,3.84
CMCSA,Consumer Services,Cable/Satellite TV,5.0,263.16
CMA,Finance,Major Banks,-19.0,10.08
COMM,Electronic Technology,Telecommunications Equipment,-4.0,4.42
CYH,Health Services,Hospital/Nursing Management,-7.0,2.05
SBS,Utilities,Water Utilities,-20.0,5.33
CIG,Utilities,Electric Utilities,-1.0,4.92
SID,Non-Energy Minerals,Steel,-13.0,12.37
BVN,Non-Energy Minerals,Precious Metals,17.0,NA
COMP,Technology Services,Packaged Software,-14.0,NA
CAG,Consumer Non-Durables,Food: Major Diversified,2.0,17.98
CNDT,Commercial Services,Miscellaneous Commercial Services,-16.0,NA
COP,Energy Minerals,Oil & Gas Production,6.0,81.38
ED,Utilities,Electric Utilities,2.0,26.65
STZ,Consumer Non-Durables,Beverages: Alcoholic,14.0,45.58
CLR,Energy Minerals,Oil & Gas Production,-8.0,13.01
CONX,Finance,Financial Conglomerates,2.0,NA
GLW,Electronic Technology,Electronic Components,-10.0,35.29
CTVA,Process Industries,Chemicals: Agricultural,-2.0,32.4
CSGP,Technology Services,Internet Software/Services,-20.0,34.74
COST,Retail Trade,Specialty Stores,18.0,169.64
COTY,Consumer Non-Durables,Household/Personal Care,-7.0,7.05
CPNG,Retail Trade,Internet Retail,-17.0,66.72
COUR,Technology Services,Internet Software/Services,0.0,NA
CVA,Industrial Services,Environmental Services,-19.0,2.29
BAP,Finance,Regional Banks,7.0,NA
CRSP,Health Technology,Biotechnology,-4.0,9.75
CROX,Consumer Non-Durables,Apparel/Footwear,-13.0,7.34
CRWD,Technology Services,Packaged Software,16.0,52.73
CCI,Finance,Real Estate Investment Trusts,17.0,85.17
CSX,Transportation,Railroads,-2.0,73.68
CVS,Retail Trade,Drugstore Chains,7.0,111.4
DAN,Producer Manufacturing,Auto Parts: OEM,14.0,3.73
DHR,Health Technology,Medical Specialties,20.0,176.47
DQ,Process Industries,Chemicals: Specialty,-20.0,NA
DRI,Consumer Services,Restaurants,4.0,17.99
DAR,Process Industries,Agricultural Commodities/Milling,2.0,11.68
DDOG,Technology Services,Packaged Software,-3.0,29.99
MSP,Technology Services,Packaged Software,-5.0,NA
DVA,Health Services,Medical/Nursing Services,-7.0,12.9
DCRB,Finance,Financial Conglomerates,13.0,NA
DELL,Electronic Technology,Computer Processing Hardware,12.0,78.46
DAL,Transportation,Airlines,-19.0,29.35
DB,Finance,Major Banks,13.0,29.04
DVN,Energy Minerals,Oil & Gas Production,9.0,19.61
DXCM,Health Technology,Medical Specialties,8.0,39.56
DEO,Consumer Non-Durables,Beverages: Alcoholic,1.0,113.82
DOFSQ,Energy Minerals,Integrated Oil,-10.0,NA
FANG,Energy Minerals,Oil & Gas Production,-10.0,15.64
DLR,FInance,Real Estate Investment Trusts,-14.0,45.71
APPS,Technology Services,Internet Software/Services,-11.0,6.73
DIN,Consumer Services,Restaurants,-13.0,NA
DFS,Finance,Finance/Rental/Leasing,-4.0,36.79
DISCA,Consumer Services,Cable/Satellite TV,1.0,15.22
DISCK,Consumer Services,Cable/Satellite TV,17.0,NA
DISH,Consumer Services,Cable/Satellite TV,-19.0,21.12
DHC,Finance,Real Estate Investment Trusts,15.0,NA
DOCU,Technology Services,Packaged Software,17.0,50.12
DG,Retail Trade,Discount Stores,7.0,49.49
DLTR,Retail Trade,Discount Stores,18.0,23.24
D,Utilities,Electric Utilities,-19.0,63.12
DPZ,Consumer Services,Restaurants,-14.0,17.4
DASH,Technology Services,Internet Software/Services,-11.0,51.75
XPOA,Finance,Financial Conglomerates,7.0,NA
DHI,Consumer Durables,Homebuilding,11.0,31.71
DKNG,Technology Services,Internet Software/Services,-12.0,20.33
DGNR,Finance,Financial Conglomerates,7.0,NA
DBX,Technology Services,Data Processing Services,-3.0,11.53
DTE,Utilities,Electric Utilities,-5.0,26.8
DUK,Utilities,Electric Utilities,7.0,78.86
DRE,Finance,Real Estate Investment Trusts,0.0,18.56
DD,Process Industries,Chemicals: Major Diversified,6.0,43.39
DXC,Technology Services,Data Processing Services,-10.0,10.45
ETAC,Finance,Financial Conglomerates,20.0,NA
EBAY,Consumer Services,Other Consumer Services,14.0,44.88
ECL,Process Industries,Chemicals: Specialty,-16.0,60.97
EIX,Utilities,Electric Utilities,4.0,22.26
EW,Health Technology,Medical Specialties,6.0,62.76
ELAN,Process Industries,Agricultural Commodities/Milling,11.0,15.83
EGO,Non-Energy Minerals,Precious Metals,3.0,2.11
EA,Consumer Durables,Recreational Products,12.0,42.51
ESI,Process Industries,Chemicals: Major Diversified,18.0,5.99
LLY,Health Technology,Pharmaceuticals: Major,1.0,216.83
ERJ,Electronic Technology,Aerospace & Defense,-3.0,3.12
EMR,Producer Manufacturing,Electrical Products,-18.0,58.39
OVV,Energy Minerals,Oil & Gas Production,7.0,7.97
ET,Industrial Services,Oil & Gas Pipelines,-12.0,30.15
ENIA,Utilities,Electric Utilities,-20.0,14.62
ENLC,Industrial Services,Oil & Gas Pipelines,10.0,3.14
ENPH,Electronic Technology,Semiconductors,9.0,20.03
ETR,Utilities,Electric Utilities,13.0,21.85
EPD,Industrial Services,Oil & Gas Pipelines,-10.0,55.32
EOG,Energy Minerals,Oil & Gas Production,18.0,49.52
EPAM,Technology Services,Information Technology Services,14.0,28.66
EQT,Energy Minerals,Oil & Gas Production,20.0,6.25
EFX,Commercial Services,Miscellaneous Commercial Services,-16.0,27.85
EQIX,Finance,Real Estate Investment Trusts,14.0,73.81
EQNR,Energy Minerals,Integrated Oil,-4.0,NA
ETRN,Industrial Services,Oil & Gas Pipelines,-14.0,4.11
EQD,Finance,Financial Conglomerates,-19.0,NA
EQR,Finance,Real Estate Investment Trusts,15.0,30.26
EL,Consumer Non-Durables,Household/Personal Care,-7.0,109.92
ETSY,Commercial Services,Miscellaneous Commercial Services,18.0,21.64
EB,Technology Services,Packaged Software,-12.0,1.96
EVR,Finance,Investment Banks/Brokers,15.0,5.58
EXAS,Health Technology,Biotechnology,14.0,21.44
XGN,Health Services,Medical/Nursing Services,15.0,NA
EXEL,Health Technology,Biotechnology,-11.0,7.13
EXC,Utilities,Electric Utilities,2.0,46.03
EXPE,Consumer Services,Other Consumer Services,-1.0,24.85
STAY,Consumer Services,Hotels/Resorts/Cruise lines,2.0,3.63
XOM,Energy Minerals,Integrated Oil,6.0,262.77
FFIV,Electronic Technology,Computer Communications,8.0,11.42
FB,Technology Services,Internet Software/Services,-20.0,954.89
FDS,Technology Services,Data Processing Services,-15.0,12.41
FAST,Distribution Services,Wholesale Distributors,-14.0,30.29
FSLY,Technology Services,Information Technology Services,-15.0,6.64
FDX,Transportation,Air Freight/Couriers,-6.0,77.74
RACE,Consumer Durables,Motor Vehicles,-19.0,51.01
FGNA,Finance,Financial Conglomerates,-8.0,NA
FITB,Finance,Regional Banks,-5.0,NA
FSRV,Finance,Financial Conglomerates,8.0,NA
FEYE,Technology Services,Information Technology Services,3.0,5.16
FHN,Finance,Regional Banks,-7.0,9.9
AG,Non-Energy Minerals,Precious Metals,-5.0,4.6
FSLR,Electronic Technology,Electronic Components,-10.0,8.35
FE,Utilities,Electric Utilities,2.0,21.09
FMAC,Finance,Financial Conglomerates,0.0,NA
FIS,Technology Services,Data Processing Services,15.0,90.84
FISV,Technology Services,Data Processing Services,-12.0,72.2
FVE,Health Services,Hospital/Nursing Management,-15.0,NA
FVRR,Technology Services,Data Processing Services,-2.0,7.29
FLT,Commercial Services,Miscellaneous Commercial Services,-3.0,22.5
FLEX,Electronic Technology,Electronic Components,14.0,8.96
FLR,Industrial Services,Engineering & Construction,2.0,2.61
WPF,Finance,Financial Conglomerates,1.0,NA
FL,Retail Trade,Apparel/Footwear Retail,6.0,6.38
F,Consumer Durables,Motor Vehicles,9.0,59.35
FTNT,Electronic Technology,Computer Communications,-15.0,37.8
FTV,Electronic Technology,Electronic Equipment/Instruments,19.0,24.07
FAII,Finance,Financial Conglomerates,-1.0,NA
FIII,Finance,Financial Conglomerates,-14.0,NA
BEN,Finance,Investment Managers,-18.0,17.1
FCX,Non-Energy Minerals,Other Metals/Minerals,15.0,57.85
FREQ,Health Technology,Biotechnology,-5.0,0.34
FSK,Finance,Investment Managers,-1.0,2.79
FTOC,Finance,Financial Conglomerates,-2.0,NA
FCEL,Electronic Technology,Electronic Equipment/Instruments,-16.0,3.12
FF,Process Industries,Chemicals: Specialty,2.0,NA
GME,Retail Trade,Electronics/Appliance Stores,-11.0,16.47
GPS,Retail Trade,Apparel/Footwear Retail,-2.0,12.24
IT,Commercial Services,Miscellaneous Commercial Services,12.0,19.76
GDS,Technology Services,Data Processing Services,-4.0,NA
GD,Electronic Technology,Aerospace & Defense,-5.0,53.93
GE,Electronic Technology,Aerospace & Defense,-1.0,118.24
GIS,Consumer Non-Durables,Food: Major Diversified,-12.0,38.21
GM,Consumer Durables,Motor Vehicles,-15.0,88.18
GNTX,Producer Manufacturing,Auto Parts: OEM,-18.0,8.06
GNW,Finance,Life/Health Insurance,11.0,2.1
GGB,Non-Energy Minerals,Steel,13.0,10.36
GILD,Health Technology,Biotechnology,-9.0,85.47
GSK,Health Technology,Pharmaceuticals: Major,18.0,100.88
GNL,Finance,Real Estate Investment Trusts,-9.0,1.9
GMED,Health Technology,Medical Specialties,-16.0,7.24
GDDY,Technology Services,Internet Software/Services,17.0,14.36
GOL,Transportation,Airlines,12.0,1.96
GFI,Non-Energy Minerals,Precious Metals,6.0,NA
GS,Finance,Investment Banks/Brokers,0.0,126.7
GT,Consumer Durables,Automotive Aftermarket,-2.0,5.13
GPRO,Consumer Durables,Electronics/Appliances,-14.0,1.89
GPK,Process Industries,Containers/Packaging,5.0,5.43
GPRE,Process Industries,Chemicals: Specialty,-14.0,1.61
GO,Retail Trade,Food Retail,-16.0,3.3
GRPN,Commercial Services,Advertising/Marketing Services,3.0,1.27
GRUB,Retail Trade,Specialty Stores,10.0,5.59
GGAL,Finance,Regional Banks,-4.0,NA
BSMX,Finance,Regional Banks,-18.0,8.8
SUPV,Finance,Major Banks,-19.0,NA
TV,Consumer Services,Broadcasting,5.0,7.9
GSAH,Finance,Financial Conglomerates,-2.0,NA
GES,Consumer Non-Durables,Apparel/Footwear,5.0,NA
GPORQ,Energy Minerals,Oil & Gas Production,15.0,NA
GWPH,Health Technology,Pharmaceuticals: Other,13.0,6.81
HRB,Consumer Services,Other Consumer Services,19.0,4.63
HAL,Industrial Services,Oilfield Services/Equipment,8.0,20.99
HBI,Consumer Non-Durables,Apparel/Footwear,12.0,6.66
HOG,Consumer Durables,Motor Vehicles,2.0,7.22
HMY,Non-Energy Minerals,Precious Metals,13.0,NA
HIG,Finance,Multi-Line Insurance,-17.0,23.11
HAS,Consumer Durables,Recreational Products,-13.0,13.13
HCA,Health Services,Hospital/Nursing Management,-12.0,68.72
HDB,Finance,Regional Banks,19.0,111.26
HAAC,Finance,Financial Conglomerates,15.0,NA
HL,Non-Energy Minerals,Precious Metals,-15.0,4.8
HEI,Electronic Technology,Aerospace & Defense,-17.0,18.38
HSIC,Distribution Services,Medical Distributors,13.0,10.89
HLF,Distribution Services,Medical Distributors,15.0,5.57
HES,Energy Minerals,Oil & Gas Production,-8.0,27.34
HPE,Electronic Technology,Computer Processing Hardware,-20.0,20.52
HLT,Consumer Services,Hotels/Resorts/Cruise lines,11.0,35.82
HGV,Finance,Real Estate Development,-17.0,3.93
HIMX,Electronic Technology,Semiconductors,0.0,2.74
HFC,Energy Minerals,Oil Refining/Marketing,-1.0,5.49
HOLX,Health Technology,Medical Specialties,-10.0,16.24
HD,Retail Trade,Home Improvement Chains,5.0,328.88
HMC,Consumer Durables,Motor Vehicles,12.0,55.66
HON,Producer Manufacturing,Industrial Conglomerates,-2.0,155.0
HRL,Consumer Non-Durables,Food: Meat/Fish/Dairy,-6.0,26.51
HST,Finance,Real Estate Investment Trusts,19.0,12.47
HWM,Non-Energy Minerals,Aluminum,-17.0,15.01
HPQ,Electronic Technology,Computer Processing Hardware,-19.0,35.3
HTHT,Consumer Services,Hotels/Resorts/Cruise lines,-6.0,36.15
HUBS,Technology Services,Information Technology Services,-19.0,25.1
HEC,Finance,Financial Conglomerates,15.0,NA
HUM,Health Services,Managed Health Care,-8.0,53.55
HBAN,Finance,Regional Banks,17.0,21.22
HUN,Process Industries,Chemicals: Major Diversified,18.0,5.83
HCM,Health Technology,Pharmaceuticals: Major,4.0,NA
HUYA,Technology Services,Packaged Software,13.0,NA
H,Consumer Services,Hotels/Resorts/Cruise lines,-4.0,8.37
IAG,Non-Energy Minerals,Precious Metals,-13.0,1.75
IBM,Technology Services,Information Technology Services,-1.0,134.05
IBN,Finance,Regional Banks,18.0,60.28
IDXX,Health Technology,Medical Specialties,0.0,50.51
IGMS,Health Technology,Pharmaceuticals: Major,0.0,NA
ITW,Producer Manufacturing,Industrial Machinery,-1.0,73.42
ILMN,Health Technology,Biotechnology,17.0,66.01
IMGN,Health Technology,Biotechnology,11.0,1.31
INCY,Health Technology,Biotechnology,-18.0,18.17
INFN,Electronic Technology,Telecommunications Equipment,12.0,2.14
INFY,Technology Services,Information Technology Services,19.0,83.76
IIPR,Finance,Real Estate Investment Trusts,-17.0,4.58
INO,Health Technology,Medical Specialties,-8.0,1.86
INTC,Electronic Technology,Semiconductors,-11.0,234.97
IBKR,Finance,Investment Banks/Brokers,-11.0,26.89
ICPT,Health Technology,Pharmaceuticals: Other,-7.0,0.7
ICE,Finance,Investment Banks/Brokers,-1.0,64.06
IGT,Consumer Services,Casinos/Gaming,3.0,5.04
IP,Process Industries,Containers/Packaging,-16.0,24.4
IPG,Commercial Services,Advertising/Marketing Services,20.0,13.22
INTU,Technology Services,Packaged Software,13.0,130.33
ISRG,Health Technology,Medical Specialties,-11.0,103.34
IVZ,Finance,Investment Managers,15.0,13.27
IVR,Finance,Real Estate Investment Trusts,6.0,NA
ISBC,Finance,Savings Banks,10.0,NA
NVTA,Health Services,Medical/Nursing Services,-14.0,6.3
INVH,Finance,Real Estate Investment Trusts,12.0,21.46
IQ,Technology Services,Internet Software/Services,-5.0,NA
IRBT,Consumer Durables,Electronics/Appliances,-3.0,2.74
IRM,Finance,Real Estate Investment Trusts,-14.0,13.26
ITUB,Finance,Major Banks,0.0,59.83
JBHT,Transportation,Trucking,17.0,17.39
JNJ,Health Technology,Pharmaceuticals: Major,-18.0,435.48
JKHY,Technology Services,Information Technology Services,20.0,12.11
JWS,Finance,Financial Conglomerates,13.0,NA
JAZZ,Health Technology,Pharmaceuticals: Other,4.0,NA
JD,Retail Trade,Internet Retail,-13.0,112.54
JEF,Finance,Investment Banks/Brokers,6.0,7.75
JBLU,Transportation,Airlines,-7.0,5.8
FROG,Technology Services,Packaged Software,20.0,NA
JKS,Producer Manufacturing,Electrical Products,-17.0,NA
DE,Producer Manufacturing,Trucks/Construction/Farm Machinery,12.0,104.66
JPM,Finance,Major Banks,18.0,476.98
JMIA,Technology Services,Internet Software/Services,-10.0,2.99
JIH,Finance,Financial Conglomerates,-6.0,NA
JNPR,Technology Services,Information Technology Services,19.0,9.34
KAR,Commercial Services,Miscellaneous Commercial Services,1.0,2.23
K,Consumer Non-Durables,Food: Major Diversified,-12.0,22.26
KDP,Consumer Non-Durables,Beverages: Non-Alcoholic,-6.0,49.39
KEY,Finance,Major Banks,-18.0,20.89
KEYS,Electronic Technology,Electronic Equipment/Instruments,-7.0,27.37
